tick,BTC/EUR
1,100.0
2,100.0
3,100.0
4,100.0
5,100.0
6,100.0
7,100.0
8,100.0
9,100.0
10,100.0
11,100.0
12,100.0
13,100.0
14,100.0
15,100.0
16,100.0
17,100.0
18,100.0
19,100.0
20,100.0
21,100.0
22,100.0
23,100.0
24,100.0
25,100.0
26,100.0
27,100.0
28,100.0
29,100.0
30,100.0
31,100.0
32,100.0
33,100.0
34,100.0
35,100.0
36,100.0
37,100.0
38,100.0
39,100.0
40,100.0
41,100.0
42,100.0
43,100.0
44,100.0
45,100.0
46,100.0
47,100.0
48,100.0
49,100.0
50,100.0
51,100.0
52,100.0
53,100.0
54,100.0
55,100.0
56,100.0
57,100.0
58,100.0
59,100.0
60,100.0
61,100.0
62,100.0
63,100.0
64,100.0
65,100.0
66,100.0
67,100.0
68,100.0
69,100.0
70,100.0
71,100.0
72,100.0
73,100.0
74,100.0
75,100.0
76,100.0
77,100.0
78,100.0
79,100.0
80,100.0
81,100.0
82,100.0
83,100.0
84,100.0
85,100.0
86,100.0
87,100.0
88,100.0
89,100.0
90,100.0
91,100.0
92,100.0
93,100.0
94,100.0
95,100.0
96,100.0
97,100.0
98,100.0
99,100.0
100,100.0
101,100.0
102,100.0
103,100.0
104,100.0
105,100.0
106,100.0
107,100.0
108,100.0
109,100.0
110,100.0
111,100.0
112,100.0
113,100.0
114,100.0
115,100.0
116,100.0
117,100.0
118,100.0
119,100.0
120,100.0
121,100.0
122,100.0
123,100.0
124,100.0
125,100.0
126,100.0
127,100.0
128,100.0
129,100.0
130,100.0
131,100.0
132,100.0
133,100.0
134,100.0
135,100.0
136,100.0
137,100.0
138,100.0
139,100.0
140,100.0
141,100.0
142,100.0
143,100.0
144,100.0
145,101.16044264179736
146,101.99856784131418
147,101.99856784131418
148,101.99856784131418
149,101.99856784131418
150,101.99856784131418
151,101.99856784131418
152,101.99856784131418
153,101.99856784131418
154,101.99856784131418
155,101.99856784131418
156,101.99856784131418
157,101.99856784131418
158,101.99856784131418
159,101.99856784131418
160,101.99856784131418
161,101.99856784131418
162,101.99856784131418
163,101.99856784131418
164,101.99856784131418
165,101.99856784131418
166,101.99856784131418
167,101.99856784131418
168,101.99856784131418
169,101.99856784131418
170,101.99856784131418
171,101.99856784131418
172,101.99856784131418
173,101.99856784131418
174,101.99856784131418
175,101.99856784131418
176,101.99856784131418
177,101.99856784131418
178,101.99856784131418
179,101.99856784131418
180,101.99856784131418
181,101.99856784131418
182,101.99856784131418
183,101.99856784131418
184,101.99856784131418
185,101.99856784131418
186,101.99856784131418
187,101.99856784131418
188,101.99856784131418
189,101.99856784131418
190,101.99856784131418
191,101.99856784131418
192,101.99856784131418
193,101.99856784131418
194,101.99856784131418
195,101.99856784131418
196,101.99856784131418
197,101.99856784131418
198,101.99856784131418
199,101.99856784131418
200,101.99856784131418
201,101.99856784131418
202,101.99856784131418
203,101.99856784131418
204,101.99856784131418
